"data";"tipo_teste";"testes_negativos";"testes_positivos";"testes_inconclusivos"
2020-04-15;"Imunoensaio por Eletroquimioluminescência  ECLIA";1;2;1
2020-04-15;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;1;0
2020-04-15;"Quimioluminescência - CLIA";1;0;1
2020-04-15;"RT-PCR";2618;2676;2618
2020-04-15;"TESTE RÁPIDO - ANTICORPO";1267;498;1267
2020-04-15;"TESTE RÁPIDO - ANTÍGENO";60;61;60
2020-04-16;"Enzimaimunoensaio - ELISA IgM";0;2;0
2020-04-16;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;1;0
2020-04-16;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";2;3;2
2020-04-16;"Quimioluminescência - CLIA";0;1;0
2020-04-16;"RT-PCR";2618;2520;2618
2020-04-16;"TESTE RÁPIDO - ANTICORPO";1463;458;1463
2020-04-16;"TESTE RÁPIDO - ANTÍGENO";81;95;81
2020-04-16;NA;0;0;0
2020-04-17;"Enzimaimunoensaio  ELISA";0;3;0
2020-04-17;"Enzimaimunoensaio - ELISA IgM";1;1;1
2020-04-17;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;2;0
2020-04-17;"RT-PCR";2537;2521;2537
2020-04-17;"TESTE RÁPIDO - ANTICORPO";1724;566;1724
2020-04-17;"TESTE RÁPIDO - ANTÍGENO";84;71;84
2020-04-18;"Enzimaimunoensaio  ELISA";1;0;1
2020-04-18;"Enzimaimunoensaio - ELISA IgM";0;2;0
2020-04-18;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;1;0
2020-04-18;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;1;0
2020-04-18;"RT-PCR";1123;1410;1123
2020-04-18;"TESTE RÁPIDO - ANTICORPO";794;276;794
2020-04-18;"TESTE RÁPIDO - ANTÍGENO";48;26;48
2020-04-19;"Enzimaimunoensaio - ELISA IgM";0;1;0
2020-04-19;"RT-PCR";989;1270;989
2020-04-19;"TESTE RÁPIDO - ANTICORPO";364;258;364
2020-04-19;"TESTE RÁPIDO - ANTÍGENO";29;19;29
2020-04-20;"Enzimaimunoensaio  ELISA";0;2;0
2020-04-20;"Enzimaimunoensaio - ELISA IgM";0;1;0
2020-04-20;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;4;0
2020-04-20;"Quimioluminescência - CLIA";0;1;0
2020-04-20;"RT-PCR";2864;3512;2864
2020-04-20;"TESTE RÁPIDO - ANTICORPO";2145;858;2145
2020-04-20;"TESTE RÁPIDO - ANTÍGENO";190;105;190
2020-04-20;NA;0;0;0
2020-04-21;"Enzimaimunoensaio  ELISA";1;0;1
2020-04-21;"Enzimaimunoensaio - ELISA IgM";1;1;1
2020-04-21;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;1;0
2020-04-21;"RT-PCR";1202;1389;1202
2020-04-21;"TESTE RÁPIDO - ANTICORPO";660;321;660
2020-04-21;"TESTE RÁPIDO - ANTÍGENO";46;25;46
2020-04-22;"Enzimaimunoensaio - ELISA IgM";4;1;4
2020-04-22;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;2;1
2020-04-22;"RT-PCR";2220;2160;2220
2020-04-22;"TESTE RÁPIDO - ANTICORPO";1883;743;1883
2020-04-22;"TESTE RÁPIDO - ANTÍGENO";123;70;123
2020-04-22;NA;0;1;0
2020-04-23;"Enzimaimunoensaio - ELISA IgM";0;3;0
2020-04-23;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";7;4;7
2020-04-23;"Quimioluminescência - CLIA";2;0;2
2020-04-23;"RT-PCR";2164;2057;2164
2020-04-23;"TESTE RÁPIDO - ANTICORPO";2263;915;2263
2020-04-23;"TESTE RÁPIDO - ANTÍGENO";191;65;191
2020-04-23;NA;0;0;0
2020-04-24;"Enzimaimunoensaio  ELISA";2;6;2
2020-04-24;"Enzimaimunoensaio - ELISA IgM";1;2;1
2020-04-24;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;3;0
2020-04-24;"Quimioluminescência - CLIA";1;0;1
2020-04-24;"RT-PCR";3590;4325;3590
2020-04-24;"TESTE RÁPIDO - ANTICORPO";3129;1556;3129
2020-04-24;"TESTE RÁPIDO - ANTÍGENO";327;130;327
2020-04-24;NA;0;0;0
2020-04-25;"Enzimaimunoensaio - ELISA IgM";2;5;2
2020-04-25;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;2;0
2020-04-25;"RT-PCR";1517;1718;1517
2020-04-25;"TESTE RÁPIDO - ANTICORPO";1195;651;1195
