semana_epi;tipo_teste;uf;ultimo_dia_semana;testes_positivos;testes_negativos;testes_inconclusivos;testes_total;testes_com_resultado;testes_taxa_positivo
13;RT-PCR;ES;2020-03-28;2;18;0;20;20;0,1000000000000000
13;RT-PCR;GO;2020-03-28;129;276;0;410;405;0,3185185185185185
13;RT-PCR;MA;2020-03-28;9;32;0;41;41;0,2195121951219512
13;RT-PCR;MG;2020-03-28;441;1040;1;1488;1482;0,2975708502024291
13;RT-PCR;MS;2020-03-28;4;4;0;8;8;0,5000000000000000
13;RT-PCR;MT;2020-03-28;11;30;0;43;41;0,2682926829268293
13;RT-PCR;PA;2020-03-28;21;157;0;179;178;0,1179775280898876
13;RT-PCR;PB;2020-03-28;9;87;0;96;96;0,0937500000000000
13;RT-PCR;PE;2020-03-28;52;58;1;120;111;0,4684684684684685
13;RT-PCR;PI;2020-03-28;4;46;0;50;50;0,0800000000000000
13;RT-PCR;PR;2020-03-28;44;124;0;168;168;0,2619047619047619
13;RT-PCR;RJ;2020-03-28;206;286;0;493;492;0,4186991869918699
13;RT-PCR;RN;2020-03-28;46;215;0;261;261;0,1762452107279693
13;RT-PCR;RO;2020-03-28;6;53;0;59;59;0,1016949152542373
13;RT-PCR;RR;2020-03-28;5;27;0;32;32;0,1562500000000000
13;RT-PCR;RS;2020-03-28;82;305;0;392;387;0,2118863049095607
13;RT-PCR;SC;2020-03-28;365;2797;0;3165;3162;0,1154332700822264
13;RT-PCR;SE;2020-03-28;1;9;0;10;10;0,1000000000000000
13;RT-PCR;SP;2020-03-28;478;534;0;1015;1012;0,4723320158102767
13;RT-PCR;TO;2020-03-28;10;90;0;100;100;0,1000000000000000
13;RT-PCR;NA;2020-03-28;1804;428;0;3110;2232;0,8082437275985663
13;Teste rápido;AL;2020-03-28;2;17;0;19;19;0,1052631578947368
13;Teste rápido;AM;2020-03-28;16;23;0;39;39;0,4102564102564102
13;Teste rápido;AP;2020-03-28;9;68;0;77;77;0,1168831168831169
13;Teste rápido;BA;2020-03-28;7;124;0;131;131;0,0534351145038168
13;Teste rápido;CE;2020-03-28;34;97;0;131;131;0,2595419847328244
13;Teste rápido;DF;2020-03-28;12;7;0;19;19;0,6315789473684210
13;Teste rápido;GO;2020-03-28;13;45;0;58;58;0,2241379310344828
13;Teste rápido;MA;2020-03-28;10;37;0;49;47;0,2127659574468085
13;Teste rápido;MG;2020-03-28;58;322;0;384;380;0,1526315789473684
13;Teste rápido;MS;2020-03-28;1;7;0;8;8;0,1250000000000000
13;Teste rápido;MT;2020-03-28;1;13;0;15;14;0,0714285714285714
13;Teste rápido;PA;2020-03-28;8;25;0;33;33;0,2424242424242424
13;Teste rápido;PB;2020-03-28;6;27;0;34;33;0,1818181818181818
13;Teste rápido;PE;2020-03-28;7;15;0;24;22;0,3181818181818182
13;Teste rápido;PI;2020-03-28;1;7;0;8;8;0,1250000000000000
13;Teste rápido;PR;2020-03-28;0;1;0;1;1;0,0000000000000000
13;Teste rápido;RJ;2020-03-28;32;90;0;122;122;0,2622950819672131
13;Teste rápido;RN;2020-03-28;0;8;0;8;8;0,0000000000000000
13;Teste rápido;RO;2020-03-28;1;1;0;2;2;0,5000000000000000
13;Teste rápido;RS;2020-03-28;9;69;0;78;78;0,1153846153846154
13;Teste rápido;SC;2020-03-28;69;839;0;909;908;0,0759911894273128
13;Teste rápido;SE;2020-03-28;0;4;0;4;4;0,0000000000000000
13;Teste rápido;SP;2020-03-28;3;90;0;93;93;0,0322580645161290
13;Teste rápido;TO;2020-03-28;4;63;0;68;67;0,0597014925373134
13;Teste rápido;NA;2020-03-28;14;84;0;104;98;0,1428571428571428
13;Outros;AL;2020-03-28;0;1;0;1;1;0,0000000000000000
13;Outros;BA;2020-03-28;0;1;0;1;1;0,0000000000000000
13;Outros;MA;2020-03-28;1;6;0;7;7;0,1428571428571428
13;Outros;MG;2020-03-28;1;3;0;4;4;0,2500000000000000
13;Outros;RJ;2020-03-28;2;0;0;2;2;1,0000000000000000
13;Outros;NA;2020-03-28;1;0;0;1;1;1,0000000000000000
14;RT-PCR;AC;2020-04-04;15;157;0;173;172;0,0872093023255814
14;RT-PCR;AL;2020-04-04;28;103;0;131;131;0,2137404580152672
14;RT-PCR;AM;2020-04-04;225;259;1;487;485;0,4639175257731959
14;RT-PCR;AP;2020-04-04;98;293;3;394;394;0,2487309644670051
14;RT-PCR;BA;2020-04-04;359;1831;0;2219;2190;0,1639269406392694
14;RT-PCR;CE;2020-04-04;682;1086;1;1774;1769;0,3855285472018090
14;RT-PCR;DF;2020-04-04;101;191;0;298;292;0,3458904109589041
14;RT-PCR;ES;2020-04-04;53;103;0;156;156;0,3397435897435898
14;RT-PCR;GO;2020-04-04;119;471;0;594;590;0,2016949152542373
14;RT-PCR;MA;2020-04-04;45;61;0;106;106;0,4245283018867925
14;RT-PCR;MG;2020-04-04;407;1510;0;1919;1917;0,2123109024517475
14;RT-PCR;MS;2020-04-04;12;20;0;32;32;0,3750000000000000
